id,kode_provinsi,nama_provinsi,jenis_kayu,produksi_kayu_olahan,satuan,tahun
1,32,JAWA BARAT,KAYU GERGAJIAN,2491433.0,M3,2010
2,32,JAWA BARAT,KAYU LAPIS,54419.0,M3,2010
3,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2010
4,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2010
5,32,JAWA BARAT,VENEER,0.0,M3,2010
6,32,JAWA BARAT,KAYU GERGAJIAN,1930325.32,M3,2011
7,32,JAWA BARAT,KAYU LAPIS,7800.0,M3,2011
8,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2011
9,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2011
10,32,JAWA BARAT,VENEER,0.0,M3,2011
11,32,JAWA BARAT,KAYU GERGAJIAN,1134982.56,M3,2012
12,32,JAWA BARAT,KAYU LAPIS,51400.0,M3,2012
13,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2012
14,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2012
15,32,JAWA BARAT,VENEER,0.0,M3,2012
16,32,JAWA BARAT,KAYU GERGAJIAN,1830229.26,M3,2013
17,32,JAWA BARAT,KAYU LAPIS,14285.4,M3,2013
18,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2013
19,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2013
20,32,JAWA BARAT,VENEER,0.0,M3,2013
21,32,JAWA BARAT,KAYU GERGAJIAN,1168498.82,M3,2014
22,32,JAWA BARAT,KAYU LAPIS,37286.12,M3,2014
23,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2014
24,32,JAWA BARAT,SERPIH KAYU,64696.0,M3,2014
25,32,JAWA BARAT,VENEER,21270.0,M3,2014
26,32,JAWA BARAT,KAYU GERGAJIAN,1285852.86,M3,2015
27,32,JAWA BARAT,KAYU LAPIS,38767.66,M3,2015
28,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2015
29,32,JAWA BARAT,SERPIH KAYU,70430.0,M3,2015
30,32,JAWA BARAT,VENEER,30341.0,M3,2015
31,32,JAWA BARAT,KAYU GERGAJIAN,1453270.64,M3,2016
32,32,JAWA BARAT,KAYU LAPIS,88767.66,M3,2016
33,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2016
34,32,JAWA BARAT,SERPIH KAYU,43820.0,M3,2016
35,32,JAWA BARAT,VENEER,30107.0,M3,2016
36,32,JAWA BARAT,KAYU GERGAJIAN,11206566.27,M3,2017
37,32,JAWA BARAT,KAYU LAPIS,88813.06,M3,2017
38,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2017
39,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2017
40,32,JAWA BARAT,VENEER,27543.0,M3,2017
41,32,JAWA BARAT,KAYU GERGAJIAN,970073.01,M3,2018
42,32,JAWA BARAT,KAYU LAPIS,87750.13,M3,2018
43,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2018
44,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2018
45,32,JAWA BARAT,VENEER,61455.0,M3,2018
46,32,JAWA BARAT,KAYU GERGAJIAN,1553650.15,M3,2019
47,32,JAWA BARAT,KAYU LAPIS,309270.3,M3,2019
48,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2019
49,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2019
50,32,JAWA BARAT,VENEER,0.0,M3,2019
51,32,JAWA BARAT,KAYU GERGAJIAN,149048.3,M3,2020
52,32,JAWA BARAT,KAYU LAPIS,149048.3,M3,2020
53,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2020
54,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2020
55,32,JAWA BARAT,VENEER,0.0,M3,2020
56,32,JAWA BARAT,KAYU GERGAJIAN,624426.7,M3,2021
57,32,JAWA BARAT,KAYU LAPIS,95726.62,M3,2021
58,32,JAWA BARAT,BUBUR KAYU,0.0,M3,2021
59,32,JAWA BARAT,SERPIH KAYU,0.0,M3,2021
60,32,JAWA BARAT,VENEER,60907.1,M3,2021
